"filename", "language", "HTML", "CSS", "JSON", "JavaScript", "C++", "comment", "blank", "total"
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\clock.h", "C++", 0, 0, 0, 0, -111, -32, -18, -161
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\commands\Commands.h", "C++", 0, 0, 0, 0, -178, -14, -18, -210
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\commands\JoystickCommand.h", "C++", 0, 0, 0, 0, -46, -13, -8, -67
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\definitions.h", "C++", 0, 0, 0, 0, -4, -14, -2, -20
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\encoders.h", "C++", 0, 0, 0, 0, -39, -15, -9, -63
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\includes.h", "C++", 0, 0, 0, 0, -10, -49, -20, -79
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\intervalometer.h", "C++", 0, 0, 0, 0, -154, -23, -16, -193
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\motors.h", "C++", 0, 0, 0, 0, -160, -20, -25, -205
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\networking.h", "C++", 0, 0, 0, 0, -35, -14, -3, -52
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\serial_messages.h", "C++", 0, 0, 0, 0, -36, -13, -7, -56
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\spiffs_files.h", "C++", 0, 0, 0, 0, -160, -28, -19, -207
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\stepper_driver.h", "C++", 0, 0, 0, 0, -12, -16, -3, -31
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\utils.h", "C++", 0, 0, 0, 0, -39, -17, -11, -67
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\variables.h", "C++", 0, 0, 0, 0, -21, -15, -10, -46
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\web_server.h", "C++", 0, 0, 0, 0, -99, -25, -9, -133
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\lib\slider\websocket.h", "C++", 0, 0, 0, 0, -152, -21, -16, -189
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\about.html", "HTML", 33, 0, 0, 0, 0, 13, 0, 46
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\css\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 5, 0, 7
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\css\style.css", "CSS", 0, 295, 0, 0, 0, 8, 42, 345
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\index-interv.html", "HTML", 64, 0, 0, 0, 0, 61, 20, 145
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\index.html", "HTML", 265, 0, 0, 0, 0, 20, 26, 311
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\index.js", "JavaScript", 0, 0, 0, 9, 0, 35, 11, 55
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\interval.html", "HTML", 95, 0, 0, 0, 0, 13, 0, 108
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\interval.webmanifest", "JSON", 0, 0, 32, 0, 0, 0, 0, 32
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\chart.js", "JavaScript", 0, 0, 0, 2, 0, 12, 0, 14
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\commands.js", "JavaScript", 0, 0, 0, 295, 0, 2, 5, 302
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\helpers.js", "JavaScript", 0, 0, 0, 2, 0, 7, 0, 9
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\index.js", "JavaScript", 0, 0, 0, 407, 0, 108, 72, 587
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\interval.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\joystick.js", "JavaScript", 0, 0, 0, 128, 0, 44, 10, 182
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 1, 0, 2
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\main.js", "JavaScript", 0, 0, 0, 891, 0, 173, 115, 1179
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\not_edit.js", "JavaScript", 0, 0, 0, 0, 0, 7, 28, 35
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\websocket.js", "JavaScript", 0, 0, 0, 61, 0, 13, 3, 77
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\serviceworker-i.js", "JavaScript", 0, 0, 0, 57, 0, 24, 6, 87
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\serviceworker.js", "JavaScript", 0, 0, 0, 57, 0, 24, 6, 87
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\settings.html", "HTML", 22, 0, 0, 0, 0, 13, 0, 35
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\slider.webmanifest", "JSON", 0, 0, 32, 0, 0, 0, 0, 32
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\footer-template.html", "HTML", 2, 0, 0, 0, 0, 0, 1, 3
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\index-interv-template.html", "HTML", 12, 0, 0, 0, 0, 22, 5, 39
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\index-loc-inter-tmp.html", "HTML", 20, 0, 0, 0, 0, 20, 6, 46
